slug;fichier;octets;schema;erreurs;alertes
/;frontend/public/index.html;20174;Organization,WebSite,SoftwareApplication,FAQPage;;
/crm-courtier-assurance;frontend/public/crm-courtier-assurance/index.html;18609;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/fonctionnalites/;frontend/public/fonctionnalites/index.html;12999;Organization,SoftwareApplication,BreadcrumbList;;
/fonctionnalites/assistant-ark;frontend/public/fonctionnalites/assistant-ark/index.html;15974;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;title_82_caracteres
/fonctionnalites/gestion-portefeuille-assurance;frontend/public/fonctionnalites/gestion-portefeuille-assurance/index.html;14601;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/fonctionnalites/relance-devis-assurance;frontend/public/fonctionnalites/relance-devis-assurance/index.html;14864;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/fonctionnalites/renouvellements-assurance;frontend/public/fonctionnalites/renouvellements-assurance/index.html;14687;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/fonctionnalites/gestion-documents-assurance;frontend/public/fonctionnalites/gestion-documents-assurance/index.html;14534;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/fonctionnalites/automatisation-relances;frontend/public/fonctionnalites/automatisation-relances/index.html;14945;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/fonctionnalites/gestion-clients;frontend/public/fonctionnalites/gestion-clients/index.html;14167;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/fonctionnalites/gestion-contrats;frontend/public/fonctionnalites/gestion-contrats/index.html;14044;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/fonctionnalites/reporting-courtier;frontend/public/fonctionnalites/reporting-courtier/index.html;14074;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/fonctionnalites/prospection-assurance;frontend/public/fonctionnalites/prospection-assurance/index.html;14198;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/fonctionnalites/compte-rendu-clients;frontend/public/fonctionnalites/compte-rendu-clients/index.html;13611;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/france/;frontend/public/france/index.html;16999;Organization,SoftwareApplication,Service,BreadcrumbList,FAQPage;;
/suisse/;frontend/public/suisse/index.html;17252;Organization,SoftwareApplication,Service,BreadcrumbList,FAQPage;;
/suisse/crm-courtier-assurance;frontend/public/suisse/crm-courtier-assurance/index.html;17084;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/suisse/geneve;frontend/public/suisse/geneve/index.html;16400;Organization,SoftwareApplication,Service,BreadcrumbList,FAQPage;;
/suisse/lausanne;frontend/public/suisse/lausanne/index.html;15890;Organization,SoftwareApplication,Service,BreadcrumbList,FAQPage;;
/solutions/;frontend/public/solutions/index.html;12132;Organization,SoftwareApplication,BreadcrumbList;;
/solutions/courtier-assurance-independant;frontend/public/solutions/courtier-assurance-independant/index.html;14922;Organization,SoftwareApplication,Service,BreadcrumbList,FAQPage;;
/solutions/cabinet-courtage-assurance;frontend/public/solutions/cabinet-courtage-assurance/index.html;14837;Organization,SoftwareApplication,Service,BreadcrumbList,FAQPage;;
/solutions/equipe-commerciale-assurance;frontend/public/solutions/equipe-commerciale-assurance/index.html;14404;Organization,SoftwareApplication,Service,BreadcrumbList,FAQPage;;
/solutions/reseau-courtage;frontend/public/solutions/reseau-courtage/index.html;14578;Organization,SoftwareApplication,Service,BreadcrumbList,FAQPage;;
/assurances/;frontend/public/assurances/index.html;13323;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/assurances/mutuelle-sante;frontend/public/assurances/mutuelle-sante/index.html;14548;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/assurances/prevoyance;frontend/public/assurances/prevoyance/index.html;14138;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/assurances/assurance-auto;frontend/public/assurances/assurance-auto/index.html;13580;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/assurances/rc-pro;frontend/public/assurances/rc-pro/index.html;13665;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/assurances/multirisque-professionnelle;frontend/public/assurances/multirisque-professionnelle/index.html;13494;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/guides/;frontend/public/guides/index.html;12416;Organization,SoftwareApplication,BreadcrumbList;;
/guides/comment-ne-plus-oublier-relances-courtier;frontend/public/guides/comment-ne-plus-oublier-relances-courtier/index.html;14360;Organization,Article,BreadcrumbList,FAQPage;;
/guides/automatiser-renouvellements-assurance;frontend/public/guides/automatiser-renouvellements-assurance/index.html;14672;Organization,Article,BreadcrumbList,FAQPage;;
/guides/centraliser-documents-clients-assurance;frontend/public/guides/centraliser-documents-clients-assurance/index.html;13859;Organization,Article,BreadcrumbList,FAQPage;;
/guides/organiser-portefeuille-assurance;frontend/public/guides/organiser-portefeuille-assurance/index.html;13906;Organization,Article,BreadcrumbList,FAQPage;;
/guides/reduire-saisie-manuelle-courtier;frontend/public/guides/reduire-saisie-manuelle-courtier/index.html;13690;Organization,Article,BreadcrumbList,FAQPage;;
/guides/automatiser-suivi-prospects-assurance;frontend/public/guides/automatiser-suivi-prospects-assurance/index.html;14153;Organization,Article,BreadcrumbList,FAQPage;;
/guides/devoir-de-conseil-suivi-dossier;frontend/public/guides/devoir-de-conseil-suivi-dossier/index.html;14942;Organization,Article,BreadcrumbList,FAQPage;;
/guides/donnees-clients-assurance-france-suisse;frontend/public/guides/donnees-clients-assurance-france-suisse/index.html;15351;Organization,Article,BreadcrumbList,FAQPage;;
/comparatifs/;frontend/public/comparatifs/index.html;12232;Organization,SoftwareApplication,BreadcrumbList;;
/comparatifs/crm-assurance-vs-crm-generaliste;frontend/public/comparatifs/crm-assurance-vs-crm-generaliste/index.html;14728;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/comparatifs/excel-vs-crm-courtier-assurance;frontend/public/comparatifs/excel-vs-crm-courtier-assurance/index.html;14531;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
/comparatifs/logiciel-metier-vs-crm-generaliste;frontend/public/comparatifs/logiciel-metier-vs-crm-generaliste/index.html;14254;Organization,SoftwareApplication,BreadcrumbList,FAQPage;;
